gene_id,ERR1338025,ERR1338026,ERR1338027,ERR1338028,ERR1338029,ERR1338030,ERR1338031,ERR1338032
ENSG00000131686.15|CA6,0,0,0,0,0,0,0,0
ENSG00000290109.1|ENSG00000290109,0,0,0,0,0,0,0,0
ENSG00000162426.16|SLC45A1,470,610,713,203,542,580,803,933
ENSG00000270282.1|ENSG00000270282,1,0,0,0,1,0,3,5
ENSG00000234619.1|RPL7P11,7,3,0,0,1,1,0,1
ENSG00000222511.2|Y_RNA,2,0,0,1,2,0,3,1
ENSG00000226545.1|ENSG00000226545,1,0,5,2,4,2,4,3
ENSG00000228423.2|ENSG00000228423,2,2,0,0,5,0,6,2
ENSG00000074800.16|ENO1,24946,26530,20853,7851,143343,115752,84725,99226
ENSG00000230679.1|ENO1-AS1,9,16,8,4,14,14,10,15
ENSG00000238249.2|HMGN2P17,1,1,1,0,1,2,1,1
ENSG00000252404.1|ENSG00000252404,0,0,0,0,0,0,0,0
ENSG00000289914.1|ENSG00000289914,0,2,0,0,5,3,7,5
ENSG00000234546.5|LNCTAM34A,11,14,17,9,29,30,27,33
ENSG00000171621.14|SPSB1,765,920,1114,320,904,884,987,1200
ENSG00000180758.12|GPR157,167,197,146,59,395,377,495,689
ENSG00000228526.8|MIR34AHG,163,162,82,33,929,704,783,717
ENSG00000284357.1|MIR34A,1,0,0,0,1,1,1,1
ENSG00000049239.13|H6PD,4792,5571,7494,2343,5109,5053,5282,5775
ENSG00000284652.1|ENSG00000284652,7,9,12,2,19,41,16,16
ENSG00000284693.2|LINC02606,29,19,30,8,64,53,35,20
ENSG00000252956.1|RNA5SP40,0,0,0,0,0,0,0,0
ENSG00000171608.18|PIK3CD,2254,2573,3445,1046,2704,2470,4335,4998
ENSG00000179840.5|PIK3CD-AS1,0,0,0,0,0,0,0,0
ENSG00000233268.3|ENSG00000233268,0,0,0,0,0,0,0,0
ENSG00000271264.1|MZT1P1,0,0,0,0,5,0,0,0
ENSG00000280113.2|ENSG00000280113,0,2,0,0,5,3,3,10
