gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
,396.8915663,-1.261274124,0.347148382,-3.633242126,0.000279882,0.063529661
,1496.42716,0.58033429,0.159875066,3.629923685,0.000283505,0.063537424
,3668.569543,-0.556367074,0.154551273,-3.599886711,0.000318356,0.064051027
,48.70970984,-1.033857272,0.286471635,-3.608934173,0.000307458,0.064051027
,62.50511352,-0.793686428,0.219494167,-3.615979596,0.000299214,0.064051027
,42.49878915,1.933267012,0.533831922,3.621490082,0.000292911,0.064051027
,256.4758411,2.027694231,0.562697234,3.603526209,0.000313929,0.064051027
,1630.302015,0.254228753,0.07045157,3.608560482,0.000307901,0.064051027
,264.3153217,0.347507438,0.096129537,3.614991294,0.000300358,0.064051027
,155.9815764,1.438648295,0.399594697,3.600268733,0.000317888,0.064051027
,1008.020994,1.195233239,0.330638952,3.614919628,0.000300441,0.064051027
,147.7961692,1.162137364,0.324644849,3.579719091,0.000343964,0.06655199
,747.7121213,-1.214089535,0.339295099,-3.578270178,0.000345876,0.06655199
,258.4092806,-0.580602679,0.162384381,-3.575483521,0.000349581,0.06655199
,399.1342018,-1.983296678,0.553872525,-3.580781838,0.000342568,0.06655199
,3480.389305,0.581872275,0.162318166,3.584763734,0.000337383,0.06655199
,1208.299979,0.286156274,0.080282853,3.564351103,0.000364757,0.066878916
,968.8520702,0.991351527,0.277963985,3.566474724,0.000361816,0.066878916
,1363.529971,0.898660921,0.252018535,3.565852497,0.000362675,0.066878916
,3876.795693,0.285140805,0.080093974,3.560078154,0.000370744,0.066878916
,55.58672352,-0.698022312,0.196744844,-3.547855674,0.000388381,0.066878916
,36.81787272,-0.808888366,0.227522764,-3.555197513,0.000377695,0.066878916
,1129.41957,1.287677758,0.362778518,3.549487345,0.000385982,0.066878916
,61.8065379,1.701444632,0.479305878,3.549809654,0.00038551,0.066878916
,2180.538152,0.672851069,0.189675119,3.547387088,0.000389072,0.066878916
,101921.8652,0.345580548,0.097392593,3.548324741,0.00038769,0.066878916
,930.1591686,-2.418336749,0.682387111,-3.543936734,0.0003942,0.06710873
,272.3633636,-0.342668821,0.096821606,-3.539177213,0.000401376,0.067467047
,2953.446815,0.624861796,0.176639104,3.537505456,0.000403926,0.067467047
,115.11667,1.598552696,0.452220984,3.534892786,0.000407941,0.067500832
,5347.511194,0.282583126,0.080272353,3.520304525,0.000431052,0.070321502
,290.0575795,1.122325478,0.318919431,3.519150512,0.000432931,0.070321502
,3773.516909,0.462821002,0.131756953,3.512687513,0.000443599,0.070620557
,732.988763,0.530393791,0.150925402,3.514277809,0.000440951,0.070620557
,299.2848842,-0.830834842,0.236650261,-3.510813115,0.000446738,0.070620557
,264.4933456,1.222384486,0.348618084,3.506371417,0.000454261,0.071174234
,883.4032998,0.241616539,0.06901558,3.500898478,0.000463692,0.071388477
,571.1601153,0.643784304,0.183788493,3.502854257,0.000460301,0.071388477
,1190.399149,0.62627205,0.179142898,3.495935697,0.000472403,0.072102472
,314.866156,-0.72777397,0.208444048,-3.491459586,0.000480389,0.072694783
,8094.881952,0.346117865,0.099400779,3.482043802,0.000497602,0.074661428
,1347.198961,0.360744696,0.104011556,3.468313628,0.000523736,0.077922185
,230.616911,0.50237728,0.144959278,3.465644203,0.000528963,0.07804405
,161.790173,0.536551665,0.155145566,3.458375755,0.000543443,0.078904632
,245.2963004,0.381256841,0.110245792,3.45824394,0.000543709,0.078904632
,1409.14955,-2.161468343,0.626748416,-3.448701723,0.000563289,0.079784191
,1560.346014,1.335553403,0.386801792,3.452810797,0.000554778,0.079784191
,275.7500762,0.701582741,0.203353274,3.450068585,0.000560444,0.079784191
,1295.458407,0.357241974,0.103863888,3.439520501,0.000582746,0.081626079
,212.876451,-0.487008401,0.141644769,-3.438237809,0.000585513,0.081626079
,771.2455033,0.266228013,0.077508826,3.434809003,0.000592972,0.082020017
,2531.871321,0.275703207,0.080671429,3.417606581,0.000631744,0.084097889
,121.2823243,1.045623962,0.305498928,3.422676367,0.000620079,0.084097889
,1925.581756,0.456562494,0.133366327,3.42337158,0.000618495,0.084097889
,68.30816726,1.306476058,0.382158981,3.41867161,0.000629276,0.084097889
,571.8322436,-0.422365299,0.123490997,-3.420211279,0.000625725,0.084097889
,393.8227079,0.490798144,0.143955166,3.409381957,0.000651102,0.086028131
,480.2582053,1.059555614,0.311587763,3.400504574,0.000672616,0.086888819
,76.73910943,-0.883239713,0.259651929,-3.401629695,0.000669853,0.086888819
,24.8842915,1.379321312,0.40545436,3.40191511,0.000669154,0.086888819
,160.3775249,-1.800834544,0.529870993,-3.398628284,0.000677247,0.086888819
,21.55945437,3.41874791,1.010146592,3.384407707,0.00071332,0.090183914
,20.50124229,-1.004443334,0.29693258,-3.382731983,0.000717686,0.090183914
,26156.99091,0.566671019,0.167528692,3.382531141,0.000718211,0.090183914
,381.8146418,2.017630173,0.59888507,3.368977243,0.000754477,0.093558718
,409.5799054,0.612435197,0.181913693,3.366625055,0.000760941,0.093558718
,15.10083843,-1.018972758,0.3025168,-3.368317916,0.000756283,0.093558718
,43.0671606,2.924000456,0.869218586,3.36394148,0.000768378,0.093821645
,2156.731673,1.165795734,0.347046543,3.359191314,0.000781709,0.094150769
,29.25470409,1.405891188,0.418334945,3.36068312,0.0007775,0.094150769
,15746.68883,0.351022221,0.104573561,3.356701427,0.000788782,0.094360761
,2203.656324,0.506889241,0.151688025,3.341656276,0.000832801,0.095505833
,46.56355451,-1.021002972,0.305802326,-3.338767841,0.000841509,0.095505833
,158.9470676,1.361861554,0.406795871,3.347776246,0.000814628,0.095505833
,1466.566138,1.309832316,0.392110631,3.340466217,0.000836379,0.095505833
,4115.080506,1.310434426,0.391864517,3.344100748,0.000825498,0.095505833
,53.69549943,-0.517005759,0.15467674,-3.342491965,0.000830298,0.095505833
,51.91386835,0.575115909,0.171643285,3.350646139,0.000806233,0.095505833
,30.41610099,1.097869474,0.328797254,3.339046972,0.000840663,0.095505833
,34.2478107,1.007768228,0.301999299,3.336988638,0.000846914,0.095507097
,16.87069616,0.764133327,0.229413911,3.330806419,0.000865948,0.097035501
,1026.24166,0.500870486,0.150574477,3.326396988,0.000879765,0.097751287
,134.9106762,1.327556332,0.399234479,3.325254713,0.000883378,0.097751287
,25.2541662,2.037635791,0.61420218,3.317532658,0.000908163,0.098594773
,60.08180385,-0.929748327,0.280116117,-3.319153275,0.000902909,0.098594773
,71.66755691,0.638371643,0.192514641,3.315964128,0.000913276,0.098594773
